name,link,compensation,min,max,currency
Сетевой администратор,https://www.superjob.ru/vakansii/setevoj-administrator-38108729.html,от  170000руб./месяц,170000,,руб.
Аналитик,https://www.superjob.ru/vakansii/analitik-37623704.html,По договорённости,,,
DevOps-инженер,https://www.superjob.ru/vakansii/devops-inzhener-37997945.html,до  270000руб./месяц,,270000,руб.
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-37927796.html,от  110000руб./месяц,110000,,руб.
Back-end разработчик,https://www.superjob.ru/vakansii/back-end-razrabotchik-38330209.html,По договорённости,,,
Backend-разработчик для разработки большой киберспортивной платформы,https://www.superjob.ru/vakansii/backend-razrabotchik-dlya-razrabotki-bolshoj-kibersportivnoj-platformy-38328267.html,120000 — 150000  руб./месяц,120000,150000,руб.
Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-36642235.html,По договорённости,,,
Аналитик поддержки приложений,https://www.superjob.ru/vakansii/analitik-podderzhki-prilozhenij-38101166.html,По договорённости,,,
Data analyst,https://www.superjob.ru/vakansii/data-analyst-38310667.html,По договорённости,,,
Product Manager / Продакт менеджер,https://www.superjob.ru/vakansii/product-manager-37211908.html,По договорённости,,,
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-38114638.html,По договорённости,,,
Head of DevOps,https://www.superjob.ru/vakansii/head-of-devops-34424249.html,По договорённости,,,
ETL-разработчик (удаленно),https://www.superjob.ru/vakansii/etl-razrabotchik-37900824.html,100000 — 120000  руб./месяц,100000,120000,руб.
Старший системный администратор,https://www.superjob.ru/vakansii/starshij-sistemnyj-administrator-37872761.html,По договорённости,,,
Эксперт Cisco Security,https://www.superjob.ru/vakansii/ekspert-cisco-security-38099651.html,По договорённости,,,
Аналитик данных / Data Analyst / Data Scientist,https://www.superjob.ru/vakansii/analitik-dannyh-37868342.html,По договорённости,,,
Аналитик баз данных / Data Engineer,https://www.superjob.ru/vakansii/analitik-baz-dannyh-37980439.html,По договорённости,,,
Компьютерный лингвист,https://www.superjob.ru/vakansii/kompyuternyj-lingvist-38199602.html,от  35000руб./месяц,35000,,руб.
Ведущий бизнес-аналитик (офис),https://www.superjob.ru/vakansii/veduschij-biznes-analitik-38080285.html,По договорённости,,,
Руководитель онлайн-проектов,https://www.superjob.ru/vakansii/rukovoditel-onlajn-proektov-29507407.html,80000 — 100000  руб./месяц,80000,100000,руб.
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-31060829.html,78000 — 90000  руб./месяц,78000,90000,руб.
Системный инженер (Devops/Linux),https://www.superjob.ru/vakansii/sistemnyj-inzhener-38094570.html,По договорённости,,,
Ведущий инженер,https://www.superjob.ru/vakansii/veduschij-inzhener-36502434.html,150000 — 180000  руб./месяц,150000,180000,руб.
Программист PHP,https://www.superjob.ru/vakansii/programmist-php-37860523.html,По договорённости,,,
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38312883.html,По договорённости,,,
Программист,https://www.superjob.ru/vakansii/programmist-37644867.html,По договорённости,,,
Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-administrator-36560801.html,По договорённости,,,
Системный архитектор,https://www.superjob.ru/vakansii/sistemnyj-arhitektor-38309477.html,от  350000руб./месяц,350000,,руб.
Тестировщик риск-стратегий,https://www.superjob.ru/vakansii/testirovschik-risk-strategij-37895613.html,По договорённости,,,
Руководитель бэкенд-разработки (php),https://www.superjob.ru/vakansii/rukovoditel-bekend-razrabotki-35568681.html,По договорённости,,,
Разработчик C в отдел CPE,https://www.superjob.ru/vakansii/razrabotchik-c-v-otdel-cpe-38075902.html,По договорённости,,,
Инженер по направлению Unix,https://www.superjob.ru/vakansii/inzhener-po-napravleniyu-unix-38173611.html,По договорённости,,,
Инженер в области машинного обучения (Data Scientist),https://www.superjob.ru/vakansii/inzhener-v-oblasti-mashinnogo-obucheniya-38301975.html,По договорённости,,,
"Web-developer / Веб-программист (ASP.NET, MVC, C#)",https://www.superjob.ru/vakansii/web-developer-38301425.html,от  100000руб./месяц,100000,,руб.
Системный администратор Windows Linux,https://www.superjob.ru/vakansii/sistemnyj-administrator-windows-linux-38299868.html,до  100000руб./месяц,,100000,руб.
"Учитель ИКТ с дополнительной функцией: робототехника, 3-D моделирование",https://www.superjob.ru/vakansii/uchitel-ikt-s-dopolnitelnoj-funkciej-32935080.html,По договорённости,,,
Администратор медиа серверов Wowza,https://www.superjob.ru/vakansii/administrator-media-serverov-wowza-38070484.html,86000  руб./месяц,,,
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-37632146.html,от  78000руб./месяц,78000,,руб.
Программист 1С,https://www.superjob.ru/vakansii/programmist-1s-38286018.html,от  50000руб./месяц,50000,,руб.
Golang / GO developer,https://www.superjob.ru/vakansii/golang-38285801.html,от  180000руб./месяц,180000,,руб.
Data engineer,https://www.superjob.ru/vakansii/data-engineer-38052207.html,180000 — 220000  руб./месяц,180000,220000,руб.
Системный администратор со знанием ElasticSearch,https://www.superjob.ru/vakansii/sistemnyj-administrator-so-znaniem-elasticsearch-38158772.html,от  150000руб./месяц,150000,,руб.
Разработчик PHP,https://www.superjob.ru/vakansii/razrabotchik-php-38051968.html,По договорённости,,,
Системный архитектор,https://www.superjob.ru/vakansii/sistemnyj-arhitektor-38155820.html,По договорённости,,,
IT-координатор,https://www.superjob.ru/vakansii/it-koordinator-38046968.html,По договорённости,,,
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38154131.html,По договорённости,,,
QA Automation Engineer (Senior or middle),https://www.superjob.ru/vakansii/qa-automation-engineer-38046713.html,По договорённости,,,
Аналитик,https://www.superjob.ru/vakansii/analitik-31183225.html,По договорённости,,,
QA automation engineer,https://www.superjob.ru/vakansii/qa-automation-engineer-37910947.html,По договорённости,,,
Продуктовый аналитик,https://www.superjob.ru/vakansii/produktovyj-analitik-33473129.html,По договорённости,,,
Тестировщик в отдел разработки,https://www.superjob.ru/vakansii/testirovschik-v-otdel-razrabotki-38074876.html,По договорённости,,,
ML-разработчик,https://www.superjob.ru/vakansii/ml-razrabotchik-38051474.html,По договорённости,,,
Middle специалист по автоматическому тестированию веб-приложений / QA инженер / Тестировщик,https://www.superjob.ru/vakansii/middle-specialist-po-avtomaticheskomu-testirovaniyu-veb-prilozhenij-38154555.html,от  150000руб./месяц,150000,,руб.
"Системный администратор, IT-специалист",https://www.superjob.ru/vakansii/sistemnyj-administrator-37479019.html,от  90000руб./месяц,90000,,руб.
Веб-разработчик (Junior),https://www.superjob.ru/vakansii/veb-razrabotchik-34415770.html,По договорённости,,,
Инженер Linux,https://www.superjob.ru/vakansii/inzhener-linux-38277746.html,от  120000руб./месяц,120000,,руб.
Автотестировщик,https://www.superjob.ru/vakansii/avtotestirovschik-38146588.html,По договорённости,,,
Ведущий системный администратор Zabbix,https://www.superjob.ru/vakansii/veduschij-sistemnyj-administrator-zabbix-35050854.html,По договорённости,,,
Web-программист / Web-разработчик (удалённо),https://www.superjob.ru/vakansii/web-programmist-38149143.html,от  30000руб./месяц,30000,,руб.
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38042009.html,По договорённости,,,
Senior Full Stack PHP developer,https://www.superjob.ru/vakansii/senior-full-stack-php-developer-38025604.html,до  230000руб./месяц,,230000,руб.
"Инженер-схемотехник, разработчик РЭА",https://www.superjob.ru/vakansii/inzhener-shemotehnik-37916256.html,160000 — 200000  руб./месяц,160000,200000,руб.
Педагог дополнительного образования (IT),https://www.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-31825314.html,По договорённости,,,
Web-разработчик,https://www.superjob.ru/vakansii/web-razrabotchik-35121873.html,от  130000руб./месяц,130000,,руб.
FullStack разработчик,https://www.superjob.ru/vakansii/fullstack-razrabotchik-37912824.html,По договорённости,,,
DevOps Engineer,https://www.superjob.ru/vakansii/devops-engineer-38018569.html,250000 — 300000  руб./месяц,250000,300000,руб.
Back-end javascript программист,https://www.superjob.ru/vakansii/back-end-javascript-programmist-37906632.html,до  200000руб./месяц,,200000,руб.
Ведущий инженер ЦГС,https://www.superjob.ru/vakansii/veduschij-inzhener-cgs-37905799.html,По договорённости,,,
DevOps инженер (Управление операционными рисками),https://www.superjob.ru/vakansii/devops-inzhener-38048116.html,По договорённости,,,
Build Master / Software Release Engineer,https://www.superjob.ru/vakansii/build-master-38075147.html,По договорённости,,,
QA Automation Engineer,https://www.superjob.ru/vakansii/qa-automation-engineer-38241626.html,до  200000руб./месяц,,200000,руб.
DevOps-инженер CI/CD,https://www.superjob.ru/vakansii/devops-inzhener-ci-38111225.html,По договорённости,,,
DevOps инженер,https://www.superjob.ru/vakansii/devops-inzhener-38085696.html,По договорённости,,,
Разработчик встроенного ПО,https://www.superjob.ru/vakansii/razrabotchik-vstroennogo-po-38074759.html,от  150000руб./месяц,150000,,руб.
Back-end python программист,https://hh.ru/vacancy/45987039?from=vacancy_search_result&query=python,до 200000 руб.,,200000,руб.
Junior Python/ML разработчик,https://hh.ru/vacancy/46574604?from=vacancy_search_result&query=python,50000 – 150000 руб.,50000,150000,руб.
Программист / Разработчик алгоритмов торговли на бирже,https://hh.ru/vacancy/46641507?from=vacancy_search_result&query=python,150000 – 220000 руб.,150000,220000,руб.
Teamlead Backend (Python),https://hh.ru/vacancy/45926598?from=vacancy_search_result&query=python,до 300000 руб.,,300000,руб.
Python developer/Data engineer,https://hh.ru/vacancy/43822796?from=vacancy_search_result&query=python,,,,
Python-разработчик в R&D отдел,https://hh.ru/vacancy/45971399?from=vacancy_search_result&query=python,100000 – 150000 руб.,100000,150000,руб.
Python разработчик / Data Engineer (сервисы highload),https://hh.ru/vacancy/46268466?from=vacancy_search_result&query=python,,,,
Junior / Middle Data analyst,https://hh.ru/vacancy/46304633?from=vacancy_search_result&query=python,до 150000 руб.,,150000,руб.
QA engineer (Data + Python),https://hh.ru/vacancy/45783106?from=vacancy_search_result&query=python,от 250000 руб.,250000,,руб.
Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/46235255?from=vacancy_search_result&query=python,,,,
Data science analytics,https://hh.ru/vacancy/45378636?from=vacancy_search_result&query=python,от 150000 руб.,150000,,руб.
Главный разработчик Python,https://hh.ru/vacancy/46469775?from=vacancy_search_result&query=python,до 200000 руб.,,200000,руб.
Python developer,https://hh.ru/vacancy/30005963?from=vacancy_search_result&query=python,от 4000 USD,4000,,USD
Backend developer (Python),https://hh.ru/vacancy/46335651?from=vacancy_search_result&query=python,90000 – 150000 руб.,90000,150000,руб.
Python разработчик,https://hh.ru/vacancy/46355830?from=vacancy_search_result&query=python,,,,
Data scientist (Junior/Middle) в консалтинг,https://hh.ru/vacancy/46453469?from=vacancy_search_result&query=python,,,,
Python-Разработчик (удаленно),https://hh.ru/vacancy/45785460?from=vacancy_search_result&query=python,от 180000 руб.,180000,,руб.
Python-разработчик (Маруся),https://hh.ru/vacancy/46588717?from=vacancy_search_result&query=python,,,,
"Junior Python разработчик ,удаленно",https://hh.ru/vacancy/46428148?from=vacancy_search_result&query=python,60000 – 80000 руб.,60000,80000,руб.
Python Developer,https://hh.ru/vacancy/40612238?from=vacancy_search_result&query=python,,,,
Тестировщик (Python),https://hh.ru/vacancy/45450423?from=vacancy_search_result&query=python,,,,
"Разработчик-Python (Django, DRF)",https://hh.ru/vacancy/43242292?from=vacancy_search_result&query=python,170000 – 220000 руб.,170000,220000,руб.
Разработчик С/С++/Python,https://hh.ru/vacancy/44669716?from=vacancy_search_result&query=python,,,,
Senior Python Backend Developer (в команду Machine Learning),https://hh.ru/vacancy/46154323?from=vacancy_search_result&query=python,250000 – 350000 руб.,250000,350000,руб.
